Juego,Plataforma,Año,Publicadora,Desarrolladora,Región,Edición,Serial,Ubicación,Completitud,Caja,Manual,Juego,Estado General,Estado Caja,Estado Manual,Estado Juego,Extras,Observaciones,Precio Compra,Lugar Compra,Fecha Compra,Valor de referencia,Tasación Actual,Fecha tasación,Proceso Juego,Valoración Personal
Super Mario Bros. 3,Famicom,1988,Nintendo,Nintendo R&D4,Japón,,,K14,Completo,TRUE,TRUE,TRUE,,,,,,También tengo un cartucho suelto (valorado en 30€),"25,00 €",Ebay,04/mar/2018,"50,00 €","50,00 €",08/08/2025,Jugado,
Super Mario USA,Famicom,1992,Nintendo,Nintendo EAD,Japón,,,K14,Completo,TRUE,TRUE,TRUE,,,,,,Plástico interior roto. Comprado por 6500Y,"40,00 €",Surugaya (Shinjuku),oct/2024,"60,00 €","60,00 €",08/08/2025,Sin Jugar,
Tetris,Famicom,1988,Bullet Proof Software,Bullet Proof Software,Japón,,,,Incompleto,TRUE,FALSE,TRUE,,,N/A,,,Pestañas de solapa rotas. Pegatina de precio en caja,"3,00 €",Japón,oct/2018,"20,00 €","20,00 €",08/08/2025,Probado,
Wagyan Land,Famicom,1989,Namcot,Now Production,Japón,,T4907892000520,,Completo,TRUE,TRUE,TRUE,9,8,9,9,"Pegatinas, publicidad, registro","Comprado por 2090Y. Todo el contenido, pegatinas incluidas","11,75 €",Surugaya (Osaka),18/oct/2025,"30,00 €","30,00 €",04/11/2025,Sin Jugar,
Wanpaku Duck Yume Bouken: Ducktales,Famicom,1990,Capcom,Capcom,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,"Daño en portada de caja, pastico interior roto. Falta solapa interior caja. Comprado por 8000Y","50,00 €",Surugaya (Shinjuku),oct/2024,"90,00 €","90,00 €",08/08/2025,Sin Jugar,
Wario no Mori,Famicom,1994,Nintendo,"Nintendo, Intelligent Systems",Japón,,,,Casi completo,TRUE,TRUE,TRUE,,,,,,Plástico interior roto. Falta tarjeta registro. Comprado por 3500Y,"22,00 €",Book Off (Ikebukuro),nov/2024,"40,00 €","40,00 €",08/08/2025,Sin Jugar,
Wizardry III: Diamond no Kishi: The Second Scenario,Famicom,1990,ASCII,Sir-Tech Software,Japón,,,,Incompleto,TRUE,FALSE,TRUE,,,N/A,,,,"3,00 €",Book Off (Kyoto),oct/2018,"15,00 €","15,00 €",08/08/2025,Sin Jugar,
Zelda no Densetsu 1 The Hyrule Fantasy,Famicom,1994,Nintendo,Nintendo R&D4,Japón,,,K13,Completo,TRUE,TRUE,TRUE,,,,,,Versión cartucho 1994 (original es de FDS),"78,00 €",Ebay,28/dic/2017,"185,00 €","185,00 €",08/08/2025,Probado,
Asterix,Master System,1991,SEGA,SEGA CS2,Europa,,,G1,Completo,TRUE,TRUE,TRUE,,,,,,Muy buen estado,"22,50 €",Wallapop,28/feb/2024,"30,00 €","30,00 €",09/04/2025,Jugado,
Land of Illusion Starring Mickey Mouse,Master System,1993,SEGA,SEGA CS3,Europa,,,G1,Completo,TRUE,TRUE,TRUE,,,,,,Muy buen estado,"22,50 €",Wallapop,28/feb/2024,"30,00 €","30,00 €",09/04/2025,Jugado,
Master Games 1,Master System,1993,SEGA,SEGA,Europa,,,G1,Completo,TRUE,TRUE,TRUE,,,,,,"Contiene Colums, Super Monaco GP y World Soccer","25,00 €",Japan Weekend Madrid,17/feb/2024,"25,00 €","25,00 €",09/04/2025,Probado,
Shadow Dancer: The Secret of Shinobi,Master System,1989,SEGA,SEGA,Europa,,,G1,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,Primera entrega saga Shinobi tras Arcade (3 entregas antes). Conversión directa de Arcade,"8,00 €",Japan Weekend Madrid,17/feb/2024,"15,00 €","15,00 €",09/04/2025,Probado,
Sonic The Hedgehog,Master System,1991,SEGA,Ancient,Europa,,,G1,Completo,TRUE,TRUE,TRUE,,,,,,Muy buen estado,"27,00 €",Wallapop,18/feb/2024,"40,00 €","40,00 €",09/04/2025,Probado,
Sonic The Hedgehog 2,Master System,1992,SEGA,Aspect,Europa,,,G1,Completo,TRUE,TRUE,TRUE,,,,,,Muy buen estado,"27,00 €",Wallapop,18/feb/2024,"35,00 €","35,00 €",09/04/2025,Probado,
The Cyber Shinoby,Master System,1991,SEGA,SEGA R&D2,Europa,,,G1,Suelto,FALSE,FALSE,TRUE,,N/A,N/A,,,Segunda entrega Shinobi en Master System,"8,00 €",Japan Weekend Madrid,17/feb/2024,"15,00 €","15,00 €",09/04/2025,Jugado,
World Grand Prix,Master System,1986,SEGA,SEGA,Europa,,,G1,Incompleto,FALSE,FALSE,TRUE,,,N/A,,,Caja de la repro de Snow Bros de Mega Drive. Tengo portada y cartucho,"8,00 €",Japan Weekend Madrid,17/feb/2024,"10,00 €","10,00 €",09/04/2025,Probado,
Akumajou Dracula,Famicom Disk System,1986,Konami,Konami,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,4000Y?,"23,00 €",Surugaya Outlet (Osaka),oct/2024,"90,00 €","90,00 €",09/04/2025,Sin Jugar,
Super Mario Bros.,Famicom Disk System,1986,Nintendo,Nintendo R&D4,Japón,,,K14,Completo,TRUE,TRUE,TRUE,,,,,,Comprado por 6100Y,"38,00 €",Surugaya (Shinjuku),nov/2024,"60,00 €","60,00 €",09/04/2025,Sin Jugar,
The Hyrule Fantasy - Zelda no Densetsu,Famicom Disk System,1986,Nintendo,Nintendo R&D4,Japón,,,K13,Completo,TRUE,TRUE,TRUE,,,,,,Con pegatina de sellado. Comprado por 5980,"53,00 €",Ojamakan (Osaka),oct/2024,"120,00 €","120,00 €",09/04/2025,Sin Jugar,
Bishoujo Senshi Sailor Moon,PC Engine,1994,Banpresto,TamTam,Japón,,BACD4002,,Completo,TRUE,TRUE,TRUE,7,8,6,9,Spinecard,Super CD-Rom². Comprado por 2500Y,"14,13 €",Trader (Akihabara),30/oct/2025,"60,00 €","60,00 €",04/11/2025,Sin Jugar,
Bishoujo Senshi Sailor Moon Collection,PC Engine,1994,Banpresto,TamTam,Japón,,BACD4004,,Casi completo,TRUE,TRUE,TRUE,7,7,7,7,Registro,Super CD-Rom². Comprado por 1437Y,"8,14 €",Bic Camera Outlet (Ikebukuro),27/oct/2025,"35,00 €","35,00 €",04/11/2025,Sin Jugar,
